"Tabela 12 - Número de animais abatidos por espécie e variação, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
 Janeiro ,624500.747,564824.176,-9.555884646523893,360551.334,371699.417,3.091954445521483,1190141.878,1200017.87,0.8298163590879204
 Fevereiro ,602357.142,572292.673,-4.991136803023089,339358.889,369972.117,9.0209005841011,1070316.835,1150207.027,7.464162889673687
 Março ,630369.451,594415.445,-5.70364029268291,372463.186,424018.834,13.841810395725918,1216916.08,1324869.909,8.87109890108444
Total do 2º Trimestre,1906767.702,1875538.321,-1.6378178090201367,1110898.184,1226363.929,10.393908880491987,3242860.262,3603565.966,11.123072684529989
 Abril ,579647.135,585733.095,1.0499422204510722,356453.748,391302.324,9.776465024012037,1106972.503,1193001.891,7.771592136828365
 Maio ,668176.761,636944.572,-4.6742405337859445,374509.278,416230.633,11.140272738450019,1095833.356,1226813.535,11.952563615886147
 Junho ,658943.806,652860.654,-0.9231670355817845,379935.158,418830.972,10.237487418840029,1040054.403,1183750.54,13.816213515900099
Total do 3º Trimestre,2074151.538,1894587.709,-8.65721841968906,1172647.547,1276440.244,8.851141783013494,3486606.035,3644814.304,4.537600962421329
 Julho ,700642.817,679323.151,-3.042872271393038,412223.143,437440.622,6.1174340713811,1191158.98,1229714.603,3.236815878263366
 Agosto ,680219.151,692199.571,1.7612588505318438,383380.533,428377.812,11.736975440012753,1146120.924,1224046.11,6.79903702726572
 Setembro ,693289.57,523064.987,-24.553172349037343,377043.871,410621.81,8.905578788734637,1149326.131,1191053.591,3.6306022176398223
Total do 4º Trimestre,1986741.722,1906663.222,-4.030644704002451,1126128.395,1222157.947,8.527407036921385,3580639.185,3691844.814,3.1057479755531414
 Outubro ,708552.984,595848.037,-15.90635415346724,383285.139,400609.256,4.519903131438641,1208262.504,1211833.033,0.29550937715767667
 Novembro ,610333.577,618732.52,1.376123371957294,360777.387,401993.732,11.424314961292193,1161726.622,1226062.281,5.537934465962513
 Dezembro ,667855.161,692082.665,3.6276584227818987,382065.869,419554.959,9.81220596807615,1210650.059,1253949.5,3.5765447395893712
,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Agropecuária - Pesquisa Trimestral do Abate de Animais",,,,,,,,,
Nota: Os dados relativos ao ano de 2021 são preliminares.,,,,,,,,,
