"Tabela 12 - Número de animais abatidos por espécie e variação, ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
segundo os meses - Brasil - 2020 - 2021,,,,,,,,,
,,,,,,,,,
Mês,Número de animais abatidos (mil cabeças) e variação (%),,,,,,,,
,Bovinos,,,Suínos,,,Frangos,,
,2020,2021.0,Variação,2020,2021.0,Variação,2020,2021.0,Variação
Total do ano,29887.036,27543.284,-7.842035590280682,49356.207,52966.861,7.315501371489086,6006415.2700000005,6176281.079,2.8280730080123107
Total do 1º Trimestre,7336.73,6595.971,-10.09658253745197,11946.277,12721.187,6.486623405768999,1515929.636,1572551.661,3.735135434742576
 Janeiro ,2463.833,2129.504,-13.569466761748872,4027.88,4065.854,0.9427788315441221,514908.605,512053.004,-0.5545840508919042
 Fevereiro ,2386.671,2179.135,-8.695626669951562,3787.626,4049.468,6.91309015198438,469077.114,491744.446,4.832325287990913
 Março ,2486.226,2287.332,-7.999835895851792,4130.771,4605.865,11.501339580431846,531943.917,568754.211,6.919957691705303
Total do 2º Trimestre,7403.577,7084.568,-4.308849627686728,12116.52,13129.932,8.363886660526298,1414208.627,1524992.721,7.83364574963803
 Abril ,2272.323,2237.969,-1.511844926975603,3913.57,4213.278,7.658173994588058,483069.904,502633.974,4.049945947367495
 Maio ,2588.595,2407.725,-6.987188030572566,4060.585,4442.766,9.411968965062911,474825.714,519653.574,9.440908248705338
 Junho ,2542.659,2438.874,-4.08175063978301,4142.365,4473.888,8.003230038878751,456313.009,502705.173,10.166741487749253
Total do 3º Trimestre,7773.78,6964.414,-10.411485789410047,12735.821,13740.502,7.888623748716328,1516898.394,1535699.571,1.239448671998522
 Julho ,2660.712,2518.714,-5.336842168562406,4456.637,4679.336,4.997019052707241,522014.163,516586.624,-1.0397302189672608
 Agosto ,2545.219,2528.644,-0.651220975483846,4162.253,4612.504,10.817482743120133,497946.087,518089.476,4.045295168671559
 Setembro ,2567.849,1917.056,-25.34389677897727,4116.931,4448.662,8.057725524182956,496938.144,501023.471,0.8220997018091758
Total do 4º Trimestre,7372.949,6898.331,-6.437288525934459,12557.589,13375.24,6.511210073844587,1559378.613,1543037.126,-1.0479486420915785
 Outubro ,2606.362,2140.07,-17.890530939293924,4237.648,4352.888,2.719433043990427,526021.566,504778.9,-4.0383640848671964
 Novembro ,2269.135,2220.916,-2.1249947667282942,4013.246,4375.294,9.021325879350517,499350.354,506982.676,1.5284503032514163
 Dezembro ,2497.452,2537.345,1.5973480170990095,4306.695,4647.058,7.903113640506243,534006.693,531275.55,-0.5114435897154435
,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Agropecuária - Pesquisa Trimestral do Abate de Animais",,,,,,,,,
Nota: Os dados relativos ao ano de 2021 são preliminares.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Tabela 1a - ,"Peso total das carcaças dos animais abatidos por espécie e variação, ",,,,,,,,
segundo os meses - Brasil - 2020 - 2021,,,,,,,,,
,,,,,,,,,
Mês,Peso total das carcaças de animais abatidos (toneladas) e variação (%),,,,,,,,
,Bovinos,,,Suínos,,,Frangos,,
,2020,2021.0,Variação,2020,2021.0,Variação,2020,2021.0,Variação
Total do ano,7824888.302,7408321.546,-5.323612809827938,4482047.535,4890652.488,9.116479684992896,13787480.275,14615319.889999999,6.004285036048751
Total do 1º Trimestre,1857227.34,1731532.294,-6.767886908233867,1072373.409,1165690.368,8.701909075404913,3477374.793,3675094.806,5.685898839492731
